code,description
111,"Pěstování obilovin na zrno (kromě rýže), sušených luskovin"
112,Pěstování rýže
113,"Pěstování brambor, kořenů a hlíz s vysokým obsahem škrobu nebo"
114,Pěstování cukrové třtiny
115,Pěstování tabáku (kromě přípravy tabákových listů)
116,"Pěstování bavlny a jiných přadných rostlin, jejich máčení"
119,"Produkce semen cukrové řepy a pícnin (vč. trav), pěstování"
126,Produkce palmových ořechů a jader
128,Pěstování rostlin využívaných převážně ve farmacii nebo
129,Pěstování kaučukovníku a jiných stromů k produkci mízy
163,Příprava tabákových listů
164,Příprava semen plodin třídy 01.11 k setbě
111,"Pěstování zelených luskovin (hrachu, bobu obecného, fazolu"
113,"Pěstování zeleniny včetně produkce jejich semen, pěstování"
119,Pěstování květin včetně produkce jejich semen
125,Produkce semen ovoce
128,"Pěstování vytrvalých bylin k ochucování pokrmů, kapary"
130,"Pěstování rostlin pro výsadbu nebo dekorační účely, vč."
164,Příprava semen plodin třídy 01.12 k setbě
210,Produkce semen lesních stromů
230,Sběr lesních hub nebo lanýžů
121,Pěstování vinných hroznů pro výrobu vína i ke konzumaci
122,"Pěstování tropického a subtropického ovoce (banánů, avokád,"
123,Pěstování citrusového ovoce
124,"Pěstování jádrového a peckového ovoce (jablek, hrušek,"
125,"Pěstování jedlých ořechů (kromě kokosových), jahod, malin atd."
126,"Pěstování kokosových ořechů, pěstování oliv (pro výrobu oleje"
127,"Pěstování rostlin pro výrobu nápojů (kávy, kakaa, čaje atd.)"
128,"Pěstování koření (bobkového listu, bazalky, anýzu, koriandru,"
163,Příprava kakaových bobů
164,Příprava semen plodin třídy 01.13 k setbě
230,"Sběr volně rostoucích plodů (bobulovin, ořechů)"
1041,Výroba olivového oleje z oliv vlastní produkce (pokud přidaná
1102,Výroba vína z vinných hroznů vlastní produkce (pokud přidaná
141,"Chov mléčného skotu, produkce surového kravského mléka"
142,Chov masného skotu
143,"Chov koní, oslů, mul a mezků"
145,"Chov ovcí a koz, produkce surové vlny a surového ovčího"
